aluno_id,ano_letivo,escola,serie,turno,idade,sexo,renda_familiar,escolaridade_pais,acesso_internet,frequencia_pct,nota_matematica,nota_portugues,nota_media_geral
ALU-04715,2021,Escola Lambda,9º Ano,Manhã,21,F,Até 1 SM,Superior Completo,1,83.1,75.3,70.9,73.1
ALU-04716,2021,Escola Lambda,9º Ano,Manhã,19,M,1-2 SM,Médio Completo,1,87.6,57.2,63.6,60.4
ALU-04717,2021,Escola Lambda,9º Ano,Manhã,21,M,5+ SM,Superior Completo,1,84.3,67.3,62.6,64.9
ALU-04718,2021,Escola Lambda,9º Ano,Manhã,21,F,1-2 SM,Superior Completo,1,97.7,74.2,43.7,58.9
ALU-04719,2021,Escola Lambda,9º Ano,Manhã,20,M,2-3 SM,Médio Completo,0,83.0,54.2,59.2,56.7
ALU-04720,2021,Escola Lambda,9º Ano,Manhã,19,F,,Médio Completo,1,76.6,61.6,62.9,62.3
ALU-04721,2021,Escola Lambda,9º Ano,Manhã,19,M,2-3 SM,Superior Completo,1,86.5,70.6,85.1,77.9
ALU-04722,2021,Escola Lambda,9º Ano,Manhã,21,M,1-2 SM,Pós-graduação,0,84.6,65.5,69.1,67.3
ALU-04723,2021,Escola Lambda,9º Ano,Manhã,20,M,Até 1 SM,Médio Completo,1,77.5,53.2,59.9,56.6
ALU-04724,2021,Escola Lambda,9º Ano,Manhã,21,M,5+ SM,Médio Completo,1,94.3,39.2,50.6,44.9
ALU-04725,2021,Escola Lambda,9º Ano,Manhã,20,F,Até 1 SM,Fundamental Completo,1,71.2,59.0,35.1,47.1
ALU-04726,2021,Escola Lambda,9º Ano,Manhã,19,M,Até 1 SM,Fundamental Completo,0,88.9,71.2,68.4,69.8
ALU-04727,2021,Escola Lambda,9º Ano,Manhã,21,F,1-2 SM,Médio Completo,1,81.0,45.7,49.3,47.5
ALU-04728,2021,Escola Lambda,9º Ano,Manhã,19,F,1-2 SM,Médio Completo,1,98.3,70.2,46.5,58.3
ALU-04729,2021,Escola Lambda,9º Ano,Manhã,19,M,Até 1 SM,Médio Completo,0,86.1,77.0,50.8,63.9
ALU-04730,2021,Escola Lambda,9º Ano,Manhã,19,F,2-3 SM,Pós-graduação,1,85.7,88.8,61.6,75.2
ALU-04731,2021,Escola Lambda,9º Ano,Manhã,21,F,Até 1 SM,Fundamental Completo,1,91.8,66.1,66.7,66.4
ALU-04732,2021,Escola Lambda,9º Ano,Manhã,19,M,1-2 SM,Médio Completo,1,86.5,74.6,71.1,72.9
ALU-04733,2021,Escola Lambda,9º Ano,Manhã,21,M,2-3 SM,Fundamental Incompleto,1,87.8,56.8,50.2,53.5
ALU-04734,2021,Escola Lambda,9º Ano,Manhã,21,M,1-2 SM,Médio Completo,0,80.8,41.7,66.9,54.3
ALU-04735,2021,Escola Lambda,9º Ano,Manhã,19,F,5+ SM,Fundamental Incompleto,1,92.3,65.7,75.6,70.6
ALU-04736,2021,Escola Lambda,9º Ano,Manhã,20,M,2-3 SM,Fundamental Completo,1,79.6,59.4,55.0,57.2
ALU-04737,2021,Escola Lambda,9º Ano,Manhã,19,F,Até 1 SM,Médio Completo,1,97.2,43.2,68.0,55.6
ALU-04738,2021,Escola Lambda,9º Ano,Manhã,21,M,5+ SM,Fundamental Incompleto,0,76.7,84.6,65.9,75.2
ALU-04739,2021,Escola Lambda,9º Ano,Manhã,21,M,Até 1 SM,Fundamental Completo,1,93.8,52.6,38.4,45.5
ALU-04740,2021,Escola Lambda,9º Ano,Manhã,21,F,3-5 SM,Fundamental Completo,1,86.7,42.8,71.8,57.3
ALU-04741,2021,Escola Lambda,9º Ano,Tarde,21,M,,Fundamental Completo,1,87.4,48.5,66.5,57.5
ALU-04742,2021,Escola Lambda,9º Ano,Tarde,19,F,1-2 SM,Médio Completo,1,90.9,60.9,65.8,63.4
ALU-04743,2021,Escola Lambda,9º Ano,Tarde,20,M,3-5 SM,Superior Completo,1,74.4,44.3,72.4,58.3
ALU-04744,2021,Escola Lambda,9º Ano,Tarde,20,F,,Fundamental Incompleto,1,80.9,69.6,58.5,64.0
ALU-04745,2021,Escola Lambda,9º Ano,Tarde,19,M,1-2 SM,Superior Completo,1,92.6,67.9,93.4,80.7
ALU-04746,2021,Escola Lambda,9º Ano,Tarde,20,F,5+ SM,Superior Completo,1,75.4,81.6,71.7,76.6
ALU-04747,2021,Escola Lambda,9º Ano,Tarde,19,F,3-5 SM,Pós-graduação,1,100.0,60.8,58.6,59.7
ALU-04748,2021,Escola Lambda,9º Ano,Tarde,20,F,Até 1 SM,Fundamental Completo,1,84.2,49.6,60.6,55.1
ALU-04749,2021,Escola Lambda,9º Ano,Tarde,21,M,1-2 SM,Fundamental Incompleto,1,88.8,58.6,74.0,66.3
ALU-04750,2021,Escola Lambda,9º Ano,Tarde,19,F,2-3 SM,Pós-graduação,1,89.1,74.4,74.5,74.4
ALU-04751,2021,Escola Lambda,9º Ano,Tarde,21,F,1-2 SM,Superior Completo,1,88.6,61.0,68.4,64.7
ALU-04752,2021,Escola Lambda,9º Ano,Tarde,21,F,1-2 SM,Superior Completo,1,86.3,85.0,61.7,73.3
ALU-04753,2021,Escola Lambda,9º Ano,Tarde,21,F,1-2 SM,Superior Completo,1,93.3,89.6,64.2,76.9
ALU-04754,2021,Escola Lambda,9º Ano,Tarde,19,M,Até 1 SM,,1,90.1,34.4,67.2,50.8
ALU-04755,2021,Escola Lambda,9º Ano,Tarde,19,F,3-5 SM,Fundamental Incompleto,1,70.8,45.8,54.6,50.2
ALU-04756,2021,Escola Lambda,9º Ano,Tarde,19,F,2-3 SM,Médio Completo,1,89.1,62.4,56.0,59.2
ALU-04757,2021,Escola Lambda,9º Ano,Tarde,19,M,1-2 SM,Médio Completo,1,91.0,65.5,53.2,59.4
ALU-04758,2021,Escola Lambda,9º Ano,Tarde,21,F,1-2 SM,Fundamental Completo,1,99.2,43.5,70.7,57.1
ALU-04759,2021,Escola Lambda,9º Ano,Tarde,21,M,2-3 SM,Fundamental Completo,0,83.6,65.8,44.2,55.0
ALU-04760,2021,Escola Lambda,9º Ano,Tarde,21,F,5+ SM,Fundamental Completo,1,71.2,42.0,57.1,49.6
ALU-04761,2021,Escola Lambda,9º Ano,Tarde,19,F,,Superior Completo,1,87.7,61.5,53.2,57.4
ALU-04762,2021,Escola Lambda,9º Ano,Tarde,21,F,1-2 SM,Superior Completo,1,64.5,53.7,60.3,57.0
ALU-04763,2021,Escola Lambda,9º Ano,Tarde,20,M,3-5 SM,Médio Completo,1,80.9,72.1,87.2,79.6
ALU-04764,2021,Escola Lambda,9º Ano,Tarde,19,F,1-2 SM,Superior Completo,1,100.0,61.5,73.3,67.4
ALU-04765,2021,Escola Lambda,9º Ano,Tarde,20,F,2-3 SM,Médio Completo,1,95.9,56.2,56.7,56.5
ALU-04766,2021,Escola Lambda,9º Ano,Tarde,21,F,2-3 SM,Médio Completo,1,82.9,54.7,53.0,53.8
ALU-04767,2021,Escola Lambda,9º Ano,Tarde,19,F,Até 1 SM,Fundamental Incompleto,1,79.7,58.0,55.9,57.0
ALU-04768,2021,Escola Lambda,9º Ano,Tarde,20,F,1-2 SM,Fundamental Completo,1,99.1,58.8,52.8,55.8
ALU-04769,2021,Escola Lambda,9º Ano,Tarde,21,F,1-2 SM,Fundamental Completo,1,79.3,69.2,61.6,65.4
ALU-04770,2021,Escola Lambda,9º Ano,Tarde,19,F,2-3 SM,Pós-graduação,0,94.1,36.7,57.3,47.0
ALU-04771,2021,Escola Lambda,9º Ano,Tarde,20,M,1-2 SM,Fundamental Completo,1,74.6,37.7,33.4,35.5
ALU-04772,2021,Escola Lambda,9º Ano,Tarde,21,M,2-3 SM,Fundamental Completo,1,81.1,60.5,50.8,55.6
ALU-04773,2021,Escola Lambda,9º Ano,Tarde,20,F,1-2 SM,Fundamental Completo,1,81.7,61.3,63.3,62.3
ALU-04774,2021,Escola Lambda,9º Ano,Tarde,21,M,2-3 SM,Superior Completo,0,100.0,53.2,67.7,60.4
ALU-04775,2021,Escola Lambda,1º Médio,Manhã,15,F,2-3 SM,Superior Completo,1,70.2,82.4,42.0,62.2
ALU-04776,2021,Escola Lambda,1º Médio,Manhã,15,F,Até 1 SM,Fundamental Completo,0,69.4,51.6,43.0,47.3
ALU-04777,2021,Escola Lambda,1º Médio,Manhã,15,M,5+ SM,Pós-graduação,1,86.7,79.0,60.2,69.6
ALU-04778,2021,Escola Lambda,1º Médio,Manhã,15,F,2-3 SM,Médio Completo,1,69.2,52.4,45.3,48.8
ALU-04779,2021,Escola Lambda,1º Médio,Manhã,16,F,Até 1 SM,Fundamental Completo,1,69.9,45.4,62.3,53.9
ALU-04780,2021,Escola Lambda,1º Médio,Manhã,15,M,3-5 SM,Fundamental Incompleto,1,62.5,42.6,42.7,42.6
ALU-04781,2021,Escola Lambda,1º Médio,Manhã,15,M,1-2 SM,Fundamental Completo,1,79.6,45.6,70.6,58.1
ALU-04782,2021,Escola Lambda,1º Médio,Manhã,15,F,1-2 SM,Fundamental Incompleto,1,81.8,45.1,55.0,50.1
ALU-04783,2021,Escola Lambda,1º Médio,Manhã,16,F,2-3 SM,Fundamental Completo,1,71.9,55.7,64.3,60.0
ALU-04784,2021,Escola Lambda,1º Médio,Manhã,15,M,Até 1 SM,Superior Completo,1,98.5,63.6,63.2,63.4
ALU-04785,2021,Escola Lambda,1º Médio,Manhã,16,F,Até 1 SM,Fundamental Completo,1,88.6,71.5,53.5,62.5
ALU-04786,2021,Escola Lambda,1º Médio,Manhã,15,M,1-2 SM,Médio Completo,1,85.9,69.6,65.6,67.6
ALU-04787,2021,Escola Lambda,1º Médio,Manhã,16,F,1-2 SM,Fundamental Completo,1,86.0,49.4,53.1,51.2
ALU-04788,2021,Escola Lambda,1º Médio,Manhã,16,F,2-3 SM,Médio Completo,1,74.5,35.6,41.7,38.7
ALU-04789,2021,Escola Lambda,1º Médio,Manhã,15,F,2-3 SM,Fundamental Incompleto,1,100.0,60.8,60.8,60.8
ALU-04790,2021,Escola Lambda,1º Médio,Manhã,16,M,3-5 SM,Pós-graduação,1,72.5,69.4,67.9,68.7
ALU-04791,2021,Escola Lambda,1º Médio,Manhã,16,F,2-3 SM,Médio Completo,1,91.9,66.3,53.3,59.8
ALU-04792,2021,Escola Lambda,1º Médio,Manhã,15,M,Até 1 SM,Médio Completo,1,100.0,64.6,73.6,69.1
ALU-04793,2021,Escola Lambda,1º Médio,Manhã,15,F,5+ SM,Fundamental Incompleto,0,83.6,73.0,67.4,70.2
ALU-04794,2021,Escola Lambda,1º Médio,Manhã,16,F,3-5 SM,Fundamental Incompleto,0,89.2,79.7,77.9,78.8
ALU-04795,2021,Escola Lambda,1º Médio,Manhã,15,M,Até 1 SM,Pós-graduação,0,91.1,60.4,54.3,57.3
ALU-04796,2021,Escola Lambda,1º Médio,Manhã,16,F,2-3 SM,Fundamental Completo,0,88.4,58.5,59.9,59.2
ALU-04797,2021,Escola Lambda,1º Médio,Manhã,16,F,,Fundamental Incompleto,0,89.3,50.8,72.6,61.7
ALU-04798,2021,Escola Lambda,1º Médio,Manhã,16,F,5+ SM,Fundamental Completo,1,75.7,94.7,86.1,90.4
ALU-04799,2021,Escola Lambda,1º Médio,Manhã,16,F,5+ SM,Fundamental Completo,1,85.5,56.6,60.4,58.5
ALU-04800,2021,Escola Lambda,1º Médio,Manhã,16,M,3-5 SM,Médio Completo,0,82.2,39.9,54.1,47.0
ALU-04801,2021,Escola Lambda,1º Médio,Manhã,16,M,Até 1 SM,Fundamental Completo,1,98.6,51.2,72.6,61.9
ALU-04802,2021,Escola Lambda,1º Médio,Manhã,15,M,1-2 SM,Superior Completo,0,65.7,49.9,82.6,66.2
ALU-04803,2021,Escola Lambda,1º Médio,Manhã,16,M,Até 1 SM,Superior Completo,1,100.0,41.8,62.5,52.2
ALU-04804,2021,Escola Lambda,1º Médio,Manhã,16,F,1-2 SM,Fundamental Incompleto,1,82.7,85.5,62.8,74.1
ALU-04805,2021,Escola Lambda,1º Médio,Tarde,16,M,Até 1 SM,Pós-graduação,1,79.2,51.5,83.0,67.2
ALU-04806,2021,Escola Lambda,1º Médio,Tarde,15,M,3-5 SM,Fundamental Incompleto,1,81.0,65.0,71.2,68.1
ALU-04807,2021,Escola Lambda,1º Médio,Tarde,15,F,5+ SM,Superior Completo,1,85.5,85.4,59.3,72.3
ALU-04808,2021,Escola Lambda,1º Médio,Tarde,15,M,Até 1 SM,Médio Completo,1,75.1,60.7,66.2,63.5
ALU-04809,2021,Escola Lambda,1º Médio,Tarde,15,F,2-3 SM,Médio Completo,1,90.8,66.7,55.4,61.1
ALU-04810,2021,Escola Lambda,1º Médio,Tarde,16,F,5+ SM,Fundamental Incompleto,1,71.2,54.2,65.1,59.6
ALU-04811,2021,Escola Lambda,1º Médio,Tarde,15,F,1-2 SM,Fundamental Completo,0,79.9,69.9,45.4,57.7
ALU-04812,2021,Escola Lambda,1º Médio,Tarde,15,F,1-2 SM,Superior Completo,1,84.9,68.7,78.0,73.4
ALU-04813,2021,Escola Lambda,1º Médio,Tarde,16,M,Até 1 SM,Fundamental Incompleto,1,84.6,63.3,62.6,63.0
ALU-04814,2021,Escola Lambda,1º Médio,Tarde,16,M,Até 1 SM,Fundamental Completo,1,92.8,58.3,59.8,59.0
ALU-04815,2021,Escola Lambda,1º Médio,Tarde,15,M,1-2 SM,Médio Completo,1,78.0,57.4,76.4,66.9
ALU-04816,2021,Escola Lambda,1º Médio,Tarde,16,M,2-3 SM,Superior Completo,1,86.4,65.8,47.4,56.6
ALU-04817,2021,Escola Lambda,1º Médio,Tarde,16,M,2-3 SM,Superior Completo,1,81.5,49.5,46.7,48.1
ALU-04818,2021,Escola Lambda,1º Médio,Tarde,16,M,5+ SM,Médio Completo,1,79.6,82.6,72.7,77.6
ALU-04819,2021,Escola Lambda,1º Médio,Tarde,15,F,1-2 SM,Pós-graduação,1,82.5,65.4,52.4,58.9
ALU-04820,2021,Escola Lambda,1º Médio,Tarde,16,F,1-2 SM,Superior Completo,0,91.5,77.1,74.9,76.0
ALU-04821,2021,Escola Lambda,1º Médio,Tarde,15,F,3-5 SM,Pós-graduação,1,91.7,68.3,92.2,80.2
ALU-04822,2021,Escola Lambda,1º Médio,Tarde,16,F,3-5 SM,,1,84.8,71.9,77.2,74.6
ALU-04823,2021,Escola Lambda,1º Médio,Tarde,15,F,3-5 SM,Fundamental Completo,1,83.4,78.3,28.5,53.4
ALU-04824,2021,Escola Lambda,1º Médio,Tarde,15,F,2-3 SM,Superior Completo,0,96.6,64.1,46.8,55.4
ALU-04825,2021,Escola Lambda,1º Médio,Tarde,16,M,3-5 SM,Médio Completo,1,89.9,56.9,70.3,63.6
ALU-04826,2021,Escola Lambda,1º Médio,Tarde,16,F,5+ SM,Fundamental Completo,1,73.8,47.1,50.9,49.0
ALU-04827,2021,Escola Lambda,1º Médio,Tarde,16,M,2-3 SM,Fundamental Completo,0,97.8,54.8,51.7,53.3
ALU-04828,2021,Escola Lambda,1º Médio,Tarde,16,M,Até 1 SM,Superior Completo,0,86.4,72.6,60.8,66.7
ALU-04829,2021,Escola Lambda,1º Médio,Tarde,15,M,Até 1 SM,Médio Completo,0,91.7,47.6,77.1,62.4
ALU-04830,2021,Escola Lambda,1º Médio,Tarde,15,M,1-2 SM,Fundamental Completo,1,100.0,54.2,57.3,55.8
ALU-04831,2021,Escola Lambda,1º Médio,Tarde,16,F,3-5 SM,Fundamental Completo,1,85.8,90.7,64.9,77.8
ALU-04832,2021,Escola Lambda,1º Médio,Tarde,16,F,1-2 SM,Superior Completo,1,100.0,58.6,64.3,61.5
ALU-04833,2021,Escola Lambda,1º Médio,Tarde,16,M,,Médio Completo,1,95.8,50.9,49.4,50.1
ALU-04834,2021,Escola Lambda,1º Médio,Tarde,15,F,2-3 SM,Superior Completo,1,73.6,34.3,53.1,43.7
ALU-04835,2021,Escola Lambda,1º Médio,Tarde,15,F,Até 1 SM,Superior Completo,1,91.1,57.8,56.4,57.1
ALU-04836,2021,Escola Lambda,1º Médio,Tarde,15,F,,Fundamental Incompleto,1,79.7,45.0,70.0,57.5
ALU-04837,2021,Escola Lambda,1º Médio,Tarde,15,M,5+ SM,Médio Completo,1,94.4,79.3,67.6,73.4
ALU-04838,2021,Escola Lambda,1º Médio,Tarde,15,M,5+ SM,Médio Completo,1,89.4,71.2,79.0,75.1
ALU-04839,2021,Escola Lambda,1º Médio,Tarde,16,F,5+ SM,Médio Completo,0,89.2,58.3,53.3,55.8
ALU-04840,2021,Escola Lambda,1º Médio,Tarde,15,F,2-3 SM,Médio Completo,1,100.0,70.6,73.1,71.9
ALU-04841,2021,Escola Lambda,1º Médio,Tarde,16,M,2-3 SM,Fundamental Incompleto,1,88.6,36.0,69.2,52.6
ALU-04842,2021,Escola Lambda,1º Médio,Tarde,15,M,2-3 SM,Pós-graduação,1,76.7,71.7,52.0,61.9
ALU-04843,2021,Escola Lambda,1º Médio,Tarde,15,M,2-3 SM,Fundamental Incompleto,1,76.5,60.5,53.9,57.2
ALU-04844,2021,Escola Lambda,1º Médio,Tarde,16,M,Até 1 SM,Médio Completo,1,81.7,81.2,78.1,79.7
ALU-04845,2021,Escola Lambda,2º Médio,Manhã,16,M,,Fundamental Incompleto,1,75.3,51.4,67.8,59.6
ALU-04846,2021,Escola Lambda,2º Médio,Manhã,16,M,5+ SM,Pós-graduação,0,69.5,38.7,35.2,36.9
ALU-04847,2021,Escola Lambda,2º Médio,Manhã,16,M,2-3 SM,Superior Completo,1,79.3,87.1,62.0,74.6
ALU-04848,2021,Escola Lambda,2º Médio,Manhã,16,M,2-3 SM,Médio Completo,0,88.5,45.7,64.6,55.2
ALU-04849,2021,Escola Lambda,2º Médio,Manhã,17,M,2-3 SM,Superior Completo,1,100.0,72.4,58.1,65.3
ALU-04850,2021,Escola Lambda,2º Médio,Manhã,16,F,1-2 SM,Médio Completo,1,100.0,29.9,53.7,41.8
ALU-04851,2021,Escola Lambda,2º Médio,Manhã,16,F,2-3 SM,Fundamental Incompleto,1,88.7,49.3,69.7,59.5
ALU-04852,2021,Escola Lambda,2º Médio,Manhã,17,F,2-3 SM,Fundamental Completo,1,68.0,26.3,47.7,37.0
ALU-04853,2021,Escola Lambda,2º Médio,Manhã,16,M,Até 1 SM,Fundamental Completo,1,82.9,78.1,66.1,72.1
ALU-04854,2021,Escola Lambda,2º Médio,Manhã,17,M,5+ SM,Fundamental Completo,1,98.3,80.7,60.3,70.5
ALU-04855,2021,Escola Lambda,2º Médio,Manhã,16,F,1-2 SM,Fundamental Completo,0,100.0,54.7,55.2,54.9
ALU-04856,2021,Escola Lambda,2º Médio,Manhã,17,M,1-2 SM,Superior Completo,1,75.9,68.4,35.8,52.1
ALU-04857,2021,Escola Lambda,2º Médio,Manhã,17,F,5+ SM,Superior Completo,1,88.7,85.8,76.7,81.2
ALU-04858,2021,Escola Lambda,2º Médio,Manhã,17,M,Até 1 SM,Fundamental Completo,0,89.8,62.3,56.0,59.2
ALU-04859,2021,Escola Lambda,2º Médio,Manhã,16,F,Até 1 SM,Fundamental Incompleto,1,79.1,55.0,59.5,57.3
ALU-04860,2021,Escola Lambda,2º Médio,Manhã,17,F,Até 1 SM,Médio Completo,0,75.8,63.5,56.9,60.2
ALU-04861,2021,Escola Lambda,2º Médio,Manhã,17,F,Até 1 SM,Fundamental Incompleto,1,82.6,52.0,62.0,57.0
ALU-04862,2021,Escola Lambda,2º Médio,Manhã,16,F,3-5 SM,Médio Completo,1,76.0,64.7,57.7,61.2
ALU-04863,2021,Escola Lambda,2º Médio,Manhã,17,F,3-5 SM,Médio Completo,1,79.8,78.3,51.5,64.9
ALU-04864,2021,Escola Lambda,2º Médio,Manhã,17,M,1-2 SM,Fundamental Incompleto,1,84.8,44.5,61.8,53.1
ALU-04865,2021,Escola Lambda,2º Médio,Manhã,16,F,Até 1 SM,Fundamental Incompleto,1,80.1,66.9,48.2,57.5
ALU-04866,2021,Escola Lambda,2º Médio,Manhã,17,F,3-5 SM,Fundamental Incompleto,1,73.9,40.3,42.1,41.2
ALU-04867,2021,Escola Lambda,2º Médio,Manhã,17,F,2-3 SM,Pós-graduação,0,80.6,79.6,58.1,68.8
ALU-04868,2021,Escola Lambda,2º Médio,Manhã,17,F,Até 1 SM,Pós-graduação,1,75.7,76.2,71.7,73.9
ALU-04869,2021,Escola Lambda,2º Médio,Manhã,17,F,3-5 SM,Pós-graduação,1,85.8,68.3,85.1,76.7
ALU-04870,2021,Escola Lambda,2º Médio,Manhã,17,F,Até 1 SM,Médio Completo,0,86.5,52.6,49.2,50.9
ALU-04871,2021,Escola Lambda,2º Médio,Manhã,17,F,1-2 SM,Fundamental Incompleto,0,100.0,80.0,51.7,65.9
ALU-04872,2021,Escola Lambda,2º Médio,Manhã,17,F,3-5 SM,Superior Completo,0,100.0,73.0,76.9,74.9
ALU-04873,2021,Escola Lambda,2º Médio,Manhã,16,F,2-3 SM,Pós-graduação,1,63.2,41.5,42.2,41.9
ALU-04874,2021,Escola Lambda,2º Médio,Manhã,17,M,1-2 SM,Superior Completo,1,96.3,64.4,58.1,61.3
ALU-04875,2021,Escola Lambda,2º Médio,Tarde,16,M,1-2 SM,Médio Completo,0,84.3,62.3,71.3,66.8
ALU-04876,2021,Escola Lambda,2º Médio,Tarde,17,F,3-5 SM,Fundamental Incompleto,0,96.3,57.1,68.4,62.7
ALU-04877,2021,Escola Lambda,2º Médio,Tarde,17,M,2-3 SM,Fundamental Incompleto,1,100.0,42.5,76.1,59.3
ALU-04878,2021,Escola Lambda,2º Médio,Tarde,17,F,2-3 SM,Médio Completo,1,83.2,50.1,80.7,65.4
ALU-04879,2021,Escola Lambda,2º Médio,Tarde,17,M,3-5 SM,Fundamental Completo,1,92.9,54.1,82.3,68.2
ALU-04880,2021,Escola Lambda,2º Médio,Tarde,16,F,3-5 SM,Fundamental Incompleto,1,76.9,90.0,55.3,72.6
ALU-04881,2021,Escola Lambda,2º Médio,Tarde,17,M,3-5 SM,,0,76.7,62.1,62.3,62.2
ALU-04882,2021,Escola Lambda,2º Médio,Tarde,17,F,2-3 SM,,0,75.1,69.6,46.6,58.1
ALU-04883,2021,Escola Lambda,2º Médio,Tarde,16,M,1-2 SM,Fundamental Completo,0,70.0,48.9,40.0,44.5
ALU-04884,2021,Escola Lambda,2º Médio,Tarde,17,F,1-2 SM,Médio Completo,0,71.5,36.7,56.7,46.7
ALU-04885,2021,Escola Lambda,2º Médio,Tarde,17,F,1-2 SM,Pós-graduação,1,76.9,64.4,72.0,68.2
ALU-04886,2021,Escola Lambda,2º Médio,Tarde,17,F,2-3 SM,Fundamental Incompleto,0,85.4,52.7,46.7,49.7
ALU-04887,2021,Escola Lambda,2º Médio,Tarde,17,F,Até 1 SM,Superior Completo,1,80.3,48.2,55.2,51.7
ALU-04888,2021,Escola Lambda,2º Médio,Tarde,16,M,2-3 SM,Fundamental Incompleto,0,97.1,43.2,36.5,39.9
ALU-04889,2021,Escola Lambda,2º Médio,Tarde,17,M,2-3 SM,Pós-graduação,0,68.8,50.6,60.4,55.5
ALU-04890,2021,Escola Lambda,2º Médio,Tarde,16,M,3-5 SM,Fundamental Completo,0,82.5,40.8,64.8,52.8
ALU-04891,2021,Escola Lambda,2º Médio,Tarde,17,F,1-2 SM,Médio Completo,1,76.0,51.9,48.9,50.4
ALU-04892,2021,Escola Lambda,2º Médio,Tarde,17,F,Até 1 SM,Médio Completo,1,74.1,71.4,31.0,51.2
ALU-04893,2021,Escola Lambda,2º Médio,Tarde,16,F,1-2 SM,Médio Completo,0,87.9,61.1,46.4,53.7
ALU-04894,2021,Escola Lambda,2º Médio,Tarde,17,F,,Médio Completo,1,89.9,86.3,68.4,77.4
ALU-04895,2021,Escola Lambda,2º Médio,Tarde,17,F,5+ SM,Fundamental Incompleto,1,74.9,42.7,34.0,38.4
ALU-04896,2021,Escola Lambda,2º Médio,Tarde,17,M,5+ SM,Fundamental Incompleto,0,81.3,52.9,66.1,59.5
ALU-04897,2021,Escola Lambda,2º Médio,Tarde,17,M,5+ SM,Médio Completo,1,94.4,44.1,76.0,60.1
ALU-04898,2021,Escola Lambda,2º Médio,Tarde,17,F,5+ SM,Superior Completo,1,94.8,58.9,77.9,68.4
ALU-04899,2021,Escola Lambda,2º Médio,Tarde,16,F,2-3 SM,Fundamental Completo,1,90.9,59.4,71.4,65.4
ALU-04900,2021,Escola Lambda,2º Médio,Tarde,16,F,3-5 SM,Médio Completo,1,100.0,49.1,76.1,62.6
ALU-04901,2021,Escola Lambda,2º Médio,Tarde,17,M,3-5 SM,Fundamental Completo,1,88.8,69.6,70.8,70.2
ALU-04902,2021,Escola Lambda,2º Médio,Tarde,16,M,3-5 SM,Superior Completo,1,93.5,76.3,74.7,75.5
ALU-04903,2021,Escola Lambda,2º Médio,Tarde,16,M,1-2 SM,Médio Completo,1,88.1,78.1,80.6,79.4
ALU-04904,2021,Escola Lambda,2º Médio,Tarde,17,F,1-2 SM,Médio Completo,0,85.6,46.1,72.7,59.4
ALU-04905,2021,Escola Lambda,2º Médio,Tarde,17,M,3-5 SM,Médio Completo,1,82.9,72.5,63.1,67.8
ALU-04906,2021,Escola Lambda,2º Médio,Tarde,16,M,1-2 SM,,0,78.7,56.8,40.6,48.7
ALU-04907,2021,Escola Lambda,3º Médio,Manhã,18,M,5+ SM,Superior Completo,1,81.0,35.3,79.7,57.5
ALU-04908,2021,Escola Lambda,3º Médio,Manhã,17,M,1-2 SM,Superior Completo,1,85.7,55.5,65.9,60.7
ALU-04909,2021,Escola Lambda,3º Médio,Manhã,17,F,1-2 SM,Fundamental Completo,1,75.0,28.6,60.0,44.3
ALU-04910,2021,Escola Lambda,3º Médio,Manhã,17,F,2-3 SM,Fundamental Completo,1,100.0,51.4,69.1,60.2
ALU-04911,2021,Escola Lambda,3º Médio,Manhã,18,M,5+ SM,Médio Completo,0,89.3,75.0,87.7,81.4
ALU-04912,2021,Escola Lambda,3º Médio,Manhã,18,M,2-3 SM,Superior Completo,1,88.8,77.7,82.1,79.9
ALU-04913,2021,Escola Lambda,3º Médio,Manhã,17,M,Até 1 SM,Médio Completo,1,79.1,55.3,77.2,66.3
ALU-04914,2021,Escola Lambda,3º Médio,Manhã,18,F,1-2 SM,Superior Completo,1,99.9,85.2,60.1,72.6
ALU-04915,2021,Escola Lambda,3º Médio,Manhã,17,M,2-3 SM,Fundamental Incompleto,1,100.0,63.9,66.1,65.0
ALU-04916,2021,Escola Lambda,3º Médio,Manhã,17,F,2-3 SM,Superior Completo,1,85.9,43.9,55.9,49.9
ALU-04917,2021,Escola Lambda,3º Médio,Manhã,18,F,5+ SM,Superior Completo,0,94.9,64.6,66.3,65.4
ALU-04918,2021,Escola Lambda,3º Médio,Manhã,18,F,1-2 SM,Médio Completo,0,79.7,68.3,60.6,64.5
ALU-04919,2021,Escola Lambda,3º Médio,Manhã,18,F,5+ SM,Fundamental Incompleto,1,78.2,60.6,75.3,67.9
ALU-04920,2021,Escola Lambda,3º Médio,Manhã,17,M,1-2 SM,Superior Completo,1,87.2,71.8,80.3,76.1
ALU-04921,2021,Escola Lambda,3º Médio,Manhã,17,F,1-2 SM,Médio Completo,1,77.3,65.6,50.8,58.2
ALU-04922,2021,Escola Lambda,3º Médio,Manhã,18,F,1-2 SM,Fundamental Completo,0,79.0,42.7,38.3,40.5
ALU-04923,2021,Escola Lambda,3º Médio,Manhã,17,F,2-3 SM,Fundamental Completo,0,82.5,51.7,51.3,51.5
ALU-04924,2021,Escola Lambda,3º Médio,Manhã,17,M,3-5 SM,Médio Completo,1,77.7,62.7,95.1,78.9
ALU-04925,2021,Escola Lambda,3º Médio,Manhã,18,M,5+ SM,Superior Completo,1,84.0,56.3,69.9,63.1
